customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,total_day,account_charges_monthly,account_charges_total
0021-ikxgc,False,female,1,False,False,1,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.4,72.1,72.1
0022-tcjci,True,male,1,False,False,45,True,no,dsl,yes,no,yes,no,no,yes,one year,False,credit card (automatic),2.07,62.7,2791.5
0023-hghwl,True,male,1,False,False,1,False,no phone service,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,0.84,25.1,25.1
0023-uyupn,False,female,1,True,False,50,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,electronic check,0.87,25.2,1306.3
0023-xuopt,True,female,0,True,False,13,True,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,False,electronic check,3.12,94.1,1215.6
0027-kwykw,False,female,0,True,True,23,True,yes,fiber optic,no,no,no,no,yes,no,month-to-month,True,electronic check,2.68,83.75,1849.95
0030-fnxpp,False,female,0,False,False,3,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.64,19.85,57.2
0031-pvlzi,True,female,0,True,True,4,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.64,20.35,76.35
0032-pgels,True,female,0,True,True,1,False,no phone service,dsl,yes,no,no,no,no,no,month-to-month,False,bank transfer (automatic),1.02,30.5,30.5
0036-ihmot,False,female,0,True,True,55,True,no,fiber optic,no,yes,yes,yes,yes,yes,one year,True,bank transfer (automatic),3.43,103.7,5656.75
0040-halcw,False,male,0,True,True,54,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.67,20.4,1090.6
0042-jvwoj,False,male,0,False,False,26,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,bank transfer (automatic),0.6,19.6,471.85
0042-rlhyp,False,female,0,True,True,69,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,bank transfer (automatic),0.67,19.7,1396.9
0048-lumls,False,male,0,True,True,37,True,no,fiber optic,no,no,no,no,yes,yes,one year,False,credit card (automatic),2.93,91.2,3247.55
0048-pihnl,False,female,0,True,False,49,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,bank transfer (automatic),0.61,20.45,900.9
0052-dckon,False,male,0,True,False,66,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,False,bank transfer (automatic),4.01,115.8,7942.15
0052-ynyot,False,female,0,False,False,67,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,electronic check,0.67,20.55,1343.4
0056-epfbg,False,male,0,True,True,20,False,no phone service,dsl,yes,no,yes,yes,no,no,two year,True,credit card (automatic),1.38,39.4,825.4
0057-qbuqh,False,female,0,False,True,43,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,electronic check,0.83,25.1,1070.15
0058-evzwm,False,female,0,True,False,55,True,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,True,bank transfer (automatic),3.01,89.8,4959.6
0060-fualy,False,female,0,True,False,59,True,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,True,electronic check,3.16,94.75,5597.65
0064-sudog,False,female,0,True,True,12,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,bank transfer (automatic),0.62,20.3,224.5
0064-yijgf,False,male,0,True,True,27,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,bank transfer (automatic),2.38,75.75,1929.0
0067-dkwbl,True,male,1,False,False,2,True,no,dsl,yes,no,no,no,no,no,month-to-month,True,electronic check,1.52,49.25,91.1
0068-figtf,False,female,0,False,False,27,True,no,dsl,no,yes,yes,yes,yes,yes,one year,False,mailed check,2.57,78.2,2078.95
0071-ndafp,False,male,0,True,True,25,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.84,25.5,630.6
0074-hdkdg,False,male,0,True,True,25,True,no,dsl,yes,yes,yes,no,no,no,one year,True,bank transfer (automatic),2.15,61.6,1611.0
0076-lveps,False,male,0,False,True,29,False,no phone service,dsl,yes,yes,yes,yes,no,no,month-to-month,True,mailed check,1.43,45.0,1242.45
0078-xzmht,False,male,0,True,False,72,True,yes,dsl,no,yes,yes,yes,yes,yes,two year,True,bank transfer (automatic),2.92,85.15,6316.2
0080-emyvy,False,female,0,False,False,14,True,no,dsl,no,yes,no,no,no,no,one year,False,credit card (automatic),1.73,51.45,727.85
0080-orozo,False,female,0,False,False,35,True,no,fiber optic,no,no,yes,yes,yes,yes,one year,True,electronic check,3.36,99.25,3532.0
0082-ldzue,False,male,0,False,False,1,True,no,dsl,no,no,no,no,no,no,month-to-month,True,mailed check,1.48,44.3,44.3
0082-oqiqy,False,male,0,False,False,29,True,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,True,electronic check,3.0,94.2,2607.6
0083-pivik,False,male,0,False,False,64,True,yes,dsl,yes,yes,yes,yes,yes,no,one year,False,electronic check,2.9,81.25,5567.55
0089-iiqko,False,female,0,True,True,39,True,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,True,credit card (automatic),3.22,99.95,3767.4
0093-exyql,False,female,1,False,False,40,True,no,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,3.06,91.55,3673.6
0093-xwzfy,True,male,0,False,False,40,True,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,True,credit card (automatic),3.36,104.5,4036.85
0094-oifmo,True,female,1,False,False,11,True,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,True,electronic check,3.39,95.0,1120.3
0096-bxers,False,female,0,True,False,6,True,yes,dsl,no,no,no,no,no,no,month-to-month,False,electronic check,1.75,50.35,314.55
0096-fcpuf,False,male,0,False,False,30,True,yes,dsl,yes,no,no,no,no,yes,month-to-month,True,mailed check,2.1,64.5,1888.45
0098-bowso,False,male,0,False,False,27,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,electronic check,0.65,19.4,529.8
0100-duvfc,False,male,1,True,False,70,True,yes,fiber optic,no,yes,yes,no,yes,yes,one year,True,electronic check,3.48,104.8,7308.95
0103-csitq,False,female,0,True,False,57,True,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,True,bank transfer (automatic),3.66,109.4,6252.7
0104-ppxdv,False,male,0,True,False,58,True,no,dsl,no,no,yes,no,no,no,one year,False,credit card (automatic),1.65,50.3,2878.55
0106-ghrqr,False,male,0,False,False,16,True,yes,dsl,no,yes,yes,no,no,yes,month-to-month,True,bank transfer (automatic),2.53,71.4,1212.1
0106-ugrdo,False,female,0,True,False,69,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,True,electronic check,3.95,116.0,8182.85
0107-weslm,True,male,0,False,False,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,electronic check,0.66,19.85,19.85
0107-yhina,True,male,0,False,True,1,True,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,True,electronic check,3.32,99.75,99.75
0111-klbqg,False,male,1,True,True,32,True,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,True,mailed check,2.98,93.95,2861.45
0112-qawrz,False,male,0,True,True,16,True,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,True,bank transfer (automatic),3.0,90.8,1442.2
0112-qwpnc,True,male,0,True,False,49,True,yes,dsl,yes,no,yes,yes,yes,yes,one year,False,electronic check,2.76,84.35,4059.35
0114-igabw,False,female,0,True,False,71,False,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,False,bank transfer (automatic),1.95,58.25,4145.9
0114-pegzz,False,female,0,False,False,33,True,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,False,electronic check,3.68,107.55,3645.5
0114-rsrrw,False,female,0,True,False,10,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,bank transfer (automatic),0.63,19.95,187.75
0115-tfert,True,male,0,True,False,21,True,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,True,electronic check,3.68,111.2,2317.1
0117-lfrmw,True,male,0,True,True,37,False,no phone service,dsl,yes,yes,yes,no,no,no,month-to-month,False,bank transfer (automatic),1.31,40.2,1448.8
0118-jpnoy,False,female,1,False,False,26,True,no,fiber optic,yes,no,no,no,yes,no,month-to-month,True,credit card (automatic),2.81,85.8,2193.65
0121-snyrk,False,male,0,False,False,50,False,no phone service,dsl,yes,no,no,yes,no,no,one year,True,mailed check,1.17,35.4,1748.9
0122-oahpz,True,female,0,False,False,7,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.43,73.85,511.25
0123-crbrt,False,female,0,True,True,61,True,yes,dsl,yes,yes,yes,yes,yes,yes,two year,False,mailed check,3.02,88.1,5526.75
0125-lzqxk,True,male,0,False,False,15,True,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,True,electronic check,3.45,101.35,1553.95
0128-mkwsg,False,female,0,False,True,26,False,no phone service,dsl,yes,no,no,yes,no,yes,month-to-month,False,mailed check,1.47,45.8,1147.0
0129-kptwj,False,male,0,True,False,72,True,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,True,electronic check,3.12,94.65,6747.35
0129-qmpdr,False,male,0,True,True,44,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,bank transfer (automatic),0.66,20.5,865.05
0130-sxoun,False,male,0,False,False,66,True,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,False,credit card (automatic),3.02,89.4,5976.9
0133-bmfzo,True,female,0,False,False,2,True,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,True,electronic check,3.03,86.25,181.65
0134-xwxce,False,female,1,False,False,44,True,no,dsl,no,no,yes,yes,yes,yes,one year,False,bank transfer (automatic),2.48,74.85,3268.05
0135-nmxap,True,female,0,False,False,12,True,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,True,bank transfer (automatic),2.92,89.75,1052.4
0136-ifmyd,False,male,1,True,False,69,True,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,True,electronic check,3.69,109.95,7634.25
0137-ocgab,True,female,0,False,False,1,True,yes,fiber optic,no,yes,no,no,no,no,month-to-month,True,mailed check,2.67,80.2,80.2
0137-udeuo,True,female,0,False,False,3,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.71,19.85,63.75
0139-ivfjg,False,female,0,True,False,2,True,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,False,electronic check,3.18,90.35,190.5
0141-yeays,False,female,1,False,False,27,True,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,True,bank transfer (automatic),2.96,86.45,2401.05
0142-gvysn,False,male,0,False,False,26,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,electronic check,0.66,20.3,511.25
0147-eswwr,False,female,1,True,False,39,True,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,True,electronic check,3.38,101.25,3949.15
0148-dcdos,True,male,0,False,False,25,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,True,bank transfer (automatic),3.15,94.7,2362.1
0151-ontov,True,female,0,False,False,1,True,no,fiber optic,no,no,no,no,no,no,month-to-month,False,mailed check,2.36,70.9,70.9
0156-fvpta,True,male,0,True,False,22,True,no,dsl,yes,no,no,yes,no,no,month-to-month,True,electronic check,1.75,54.2,1152.7
0164-apgrb,False,female,0,False,False,72,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,True,electronic check,3.93,114.9,8496.7
0164-xairp,False,female,0,False,False,24,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,bank transfer (automatic),0.65,19.55,470.2
0168-xzkbb,False,female,0,True,False,19,True,yes,fiber optic,no,no,no,no,yes,no,month-to-month,True,electronic check,2.74,86.85,1564.4
0174-qrvvy,False,male,0,True,True,71,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.87,25.35,1847.55
0177-pxbat,False,male,1,True,False,33,True,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,True,bank transfer (automatic),3.73,109.9,3694.7
0178-ciikr,False,female,0,False,False,3,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.64,19.95,58.0
0178-szbho,False,male,0,True,True,47,True,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,False,electronic check,2.85,87.2,4017.45
0181-ritdd,False,male,0,True,True,62,True,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,False,mailed check,3.67,108.15,6825.65
0186-caerr,False,male,0,False,False,71,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,True,bank transfer (automatic),3.9,116.3,8309.55
0187-qsxoe,False,male,1,True,False,7,True,no,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,2.88,89.0,605.45
0187-wznab,False,female,0,True,True,27,True,no,fiber optic,yes,no,no,no,no,no,month-to-month,False,mailed check,2.44,74.4,1972.35
0188-gwfle,False,male,0,False,False,2,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.56,20.05,33.7
0191-equuh,False,female,0,False,True,25,False,no phone service,dsl,yes,no,no,yes,no,no,two year,False,bank transfer (automatic),1.13,35.05,844.45
0191-zhskz,False,male,1,False,False,30,True,no,dsl,yes,yes,no,no,yes,yes,month-to-month,True,electronic check,2.35,74.75,2111.3
0193-eszxp,True,female,1,True,False,58,True,no,fiber optic,yes,yes,no,yes,yes,yes,one year,True,credit card (automatic),3.57,105.5,6205.5
0195-iescp,True,male,0,True,False,10,True,yes,fiber optic,no,no,no,no,no,yes,month-to-month,True,electronic check,2.85,85.25,855.3
0196-jtuqi,False,female,0,False,False,9,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,credit card (automatic),2.35,75.2,633.85
0196-vulgz,True,female,1,True,False,6,True,yes,fiber optic,no,no,no,no,no,yes,month-to-month,True,electronic check,2.64,84.35,474.9
0197-pnknk,False,female,0,True,True,69,True,yes,fiber optic,yes,no,yes,no,no,no,one year,False,bank transfer (automatic),2.83,84.45,5848.6
0201-mibol,False,female,1,False,False,66,True,yes,fiber optic,yes,no,no,no,yes,yes,two year,True,bank transfer (automatic),3.27,102.4,6471.85
0201-oamxr,True,female,0,False,False,70,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,False,credit card (automatic),3.87,115.55,8127.6
0203-hhyij,True,male,0,False,False,25,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,bank transfer (automatic),0.9,25.3,676.35
0206-oyvoc,False,female,0,True,True,46,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,mailed check,0.63,19.25,864.2
0206-tbwlc,False,female,0,True,False,54,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,True,mailed check,3.73,114.65,6049.5
0207-mdknv,True,female,0,False,False,15,True,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,False,electronic check,3.52,105.1,1582.75
0208-bpqej,False,female,0,True,True,12,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,bank transfer (automatic),0.55,19.4,198.1
0212-isbbf,False,female,0,False,False,22,False,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,True,electronic check,1.66,50.35,1098.85
0214-jhpfw,False,female,0,True,False,70,False,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,False,bank transfer (automatic),1.92,57.8,4039.3
0215-bqkgs,False,male,0,False,False,30,True,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,True,credit card (automatic),2.71,84.3,2438.6
0218-qnvas,False,male,0,True,True,71,True,yes,fiber optic,no,yes,no,no,yes,yes,one year,False,bank transfer (automatic),3.34,100.55,7113.75
0219-qaerp,False,male,0,True,False,30,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,credit card (automatic),0.64,19.8,576.65
0219-ytzue,True,male,0,True,True,4,True,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,True,bank transfer (automatic),3.1,84.8,371.9
0220-ebgce,True,male,0,False,False,2,True,no,fiber optic,no,no,yes,no,no,yes,month-to-month,True,electronic check,2.79,85.85,167.3
0221-nauxk,False,male,0,False,True,10,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,bank transfer (automatic),0.73,19.95,219.5
0221-wmxnq,False,male,1,False,False,4,True,no,fiber optic,yes,no,no,no,no,no,month-to-month,False,electronic check,2.28,75.35,273.4
0222-cnvpt,False,male,1,False,False,52,False,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,True,credit card (automatic),1.64,48.8,2555.05
0224-hjapt,True,male,0,False,False,5,True,yes,dsl,no,no,no,no,no,no,month-to-month,False,electronic check,1.49,47.15,223.15
0224-nijlp,False,male,0,True,True,8,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,mailed check,0.69,20.15,165.5
0224-rlwwd,False,female,1,False,False,2,True,no,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,1.49,44.3,89.3
0225-zorzp,False,male,0,False,False,3,True,no,fiber optic,no,yes,no,no,no,yes,month-to-month,False,electronic check,2.61,84.3,235.05
0228-mauwc,False,male,0,False,False,19,True,yes,dsl,no,no,yes,yes,no,no,month-to-month,False,electronic check,2.01,59.55,1144.6
0229-lfjaf,False,male,0,False,False,72,True,yes,dsl,yes,yes,yes,yes,no,no,two year,False,bank transfer (automatic),2.27,69.65,4908.25
0230-ubypq,False,male,1,True,False,63,False,no phone service,dsl,yes,no,no,yes,no,no,one year,False,bank transfer (automatic),1.22,36.1,2298.9
0230-wequw,False,male,0,True,False,66,False,no phone service,dsl,yes,yes,yes,yes,yes,no,two year,True,bank transfer (automatic),1.91,56.6,3789.2
0231-lxvap,True,male,0,False,False,1,True,no,fiber optic,no,no,no,yes,no,no,month-to-month,True,electronic check,2.53,75.9,75.9
0233-fthav,False,female,0,False,False,60,True,yes,fiber optic,no,no,yes,no,no,no,one year,True,bank transfer (automatic),2.65,79.2,4765.0
0234-tevtt,False,female,0,True,True,48,False,no phone service,dsl,yes,no,yes,no,no,yes,one year,False,credit card (automatic),1.53,45.0,2196.3
0235-kgslc,True,female,0,False,False,1,True,no,fiber optic,no,no,yes,no,yes,no,month-to-month,True,credit card (automatic),2.85,85.55,85.55
0236-hfwsv,True,male,0,False,False,15,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,3.21,93.35,1444.65
0237-yfutl,False,female,0,True,False,50,True,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,True,bank transfer (automatic),3.6,109.65,5405.8
0238-whbiq,False,male,0,True,True,72,True,yes,dsl,yes,yes,yes,yes,yes,yes,two year,False,credit card (automatic),2.93,89.7,6339.3
0239-oxexl,False,female,0,False,False,46,True,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,False,mailed check,2.79,84.25,3847.6
0244-lgnfy,False,female,0,True,True,72,True,yes,dsl,yes,yes,yes,yes,yes,yes,two year,False,bank transfer (automatic),3.12,92.65,6733.0
0247-sluji,False,male,0,True,True,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.66,19.7,19.7
0248-ipdfw,False,female,0,False,False,1,True,yes,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,1.67,50.1,50.1
0248-pghbz,False,female,1,False,False,67,True,no,fiber optic,yes,yes,no,yes,yes,no,two year,True,bank transfer (automatic),3.06,92.45,6140.85
0253-zteob,False,female,0,True,True,48,True,yes,dsl,no,yes,no,yes,yes,yes,two year,False,electronic check,2.69,79.65,3870.3
0254-fnmci,False,female,0,False,False,72,True,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,True,electronic check,3.53,109.9,7624.2
0254-kcjgt,False,male,0,True,False,52,True,yes,dsl,yes,yes,yes,yes,no,yes,one year,True,credit card (automatic),2.79,81.4,4354.45
0254-wwrkd,False,female,0,True,True,67,True,no,dsl,no,yes,no,no,no,no,one year,False,credit card (automatic),1.71,50.55,3431.75
0256-lthvj,True,female,0,True,True,28,True,no,fiber optic,no,no,no,no,no,yes,month-to-month,True,electronic check,2.65,81.05,2227.1
0257-kxzgu,False,female,0,True,True,32,True,yes,dsl,no,yes,yes,no,no,no,month-to-month,False,bank transfer (automatic),2.13,62.45,2045.55
0257-zesqc,True,female,1,True,False,27,True,no,fiber optic,yes,no,no,no,no,no,month-to-month,True,bank transfer (automatic),2.38,75.2,1929.35
0258-nokbl,False,male,0,False,False,3,True,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,False,electronic check,2.98,90.4,268.45
0259-gbzsh,True,male,0,False,False,2,True,yes,fiber optic,no,no,no,no,yes,no,month-to-month,True,electronic check,3.02,85.65,181.5
0260-zdlgk,True,female,0,False,True,9,True,no,dsl,no,no,yes,yes,yes,yes,month-to-month,True,mailed check,2.41,72.9,651.4
0263-fjtqo,False,male,0,True,True,50,True,yes,dsl,yes,no,no,yes,yes,no,two year,True,credit card (automatic),2.32,70.5,3486.65
0264-cnitk,False,female,0,True,True,71,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,bank transfer (automatic),0.65,20.1,1389.6
0265-edxbd,True,male,1,True,False,32,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.4,74.9,2303.35
0265-psuae,False,female,0,True,True,16,True,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,False,bank transfer (automatic),3.17,100.7,1522.7
0266-clzkz,False,female,0,True,True,67,True,yes,fiber optic,no,no,yes,yes,yes,yes,two year,True,bank transfer (automatic),3.34,105.65,6717.9
0266-gmeao,False,male,0,True,True,72,True,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,True,credit card (automatic),3.73,114.3,8058.55
0268-qkiwo,True,female,0,False,False,3,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,electronic check,0.65,19.75,58.85
0269-xfesx,False,male,0,True,True,23,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,mailed check,0.78,24.35,538.5
0270-thenm,False,male,0,True,True,72,True,yes,dsl,yes,yes,yes,yes,no,no,two year,False,bank transfer (automatic),2.36,69.85,5102.35
0274-jkujr,False,male,0,True,True,7,False,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,False,mailed check,2.22,58.85,465.7
0277-bksqp,False,male,0,True,True,8,True,no,dsl,no,no,no,no,yes,no,month-to-month,True,electronic check,1.98,54.4,475.1
0277-orxqs,False,male,0,True,True,66,False,no phone service,dsl,no,no,no,yes,yes,yes,two year,False,bank transfer (automatic),1.7,50.55,3364.55
0278-yxoog,True,male,0,False,False,5,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.76,21.05,113.85
0280-xjgex,True,male,0,False,False,49,True,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,True,bank transfer (automatic),3.43,103.7,5036.3
0281-cntzx,False,male,0,True,False,63,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,bank transfer (automatic),0.65,19.95,1234.8
0282-nvsjs,False,female,1,True,True,12,False,no phone service,dsl,no,no,no,yes,no,no,month-to-month,True,mailed check,0.99,29.3,355.9
0285-inhln,False,male,0,True,True,27,True,no,dsl,yes,yes,no,no,no,no,month-to-month,True,credit card (automatic),1.86,54.75,1510.3
0289-ivarm,False,female,0,False,False,35,True,no,dsl,yes,yes,yes,no,no,no,month-to-month,False,electronic check,1.89,60.55,1982.6
0292-wegch,False,female,0,True,True,54,True,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,True,electronic check,2.79,86.2,4524.05
0295-pphdo,True,male,0,False,False,1,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,3.18,95.45,95.45
0295-qvkpb,False,male,0,False,False,5,True,no,dsl,no,no,yes,yes,yes,no,month-to-month,True,credit card (automatic),2.12,63.95,318.1
0297-rbcsg,False,male,0,False,False,19,True,no,dsl,no,yes,no,yes,no,yes,one year,True,bank transfer (automatic),2.16,65.35,1231.85
0298-xacet,False,male,0,True,True,52,False,no phone service,dsl,no,yes,yes,yes,yes,no,two year,False,mailed check,1.64,50.2,2554.0
0301-fidrb,False,female,0,True,True,72,False,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,True,bank transfer (automatic),2.17,63.8,4684.3
